time,vdd,vres
-4.61800e-02,0.115625,0.0105063
-4.61760e-02,0.115938,0.0104438
-4.61720e-02,0.11625,0.0102344
-4.61680e-02,0.116563,0.0102844
-4.61640e-02,0.112188,0.0107688
-4.61600e-02,0.111875,0.01025
-4.61560e-02,0.1125,0.00981563
-4.61520e-02,0.115625,0.00980313
-4.61480e-02,0.120625,0.0101813
-4.61440e-02,0.112812,0.0104469
-4.61400e-02,0.113125,0.0103688
-4.61360e-02,0.112812,0.0104156
-4.61320e-02,0.113437,0.0100625
-4.61280e-02,0.106562,0.0101813
-4.61240e-02,0.109375,0.01055
-4.61200e-02,0.111875,0.0105969
-4.61160e-02,0.106875,0.0104438
-4.61120e-02,0.1125,0.0104687
-4.61080e-02,0.11375,0.010375
-4.61040e-02,0.107188,0.010225
-4.61000e-02,0.112188,0.0108813
-4.60960e-02,0.1125,0.0108625
-4.60920e-02,0.104688,0.0102531
-4.60880e-02,0.111563,0.0101906
-4.60840e-02,0.114063,0.0102875
-4.60800e-02,0.110937,0.0106875
-4.60760e-02,0.117188,0.0106281
-4.60720e-02,0.11875,0.0106562
-4.60680e-02,0.115,0.0103156
-4.60640e-02,0.100938,0.0106719
-4.60600e-02,0.111563,0.0106969
-4.60560e-02,0.110313,0.0105219
-4.60520e-02,0.112812,0.0102094
-4.60480e-02,0.114375,0.0104594
-4.60440e-02,0.112812,0.0106687
-4.60400e-02,0.108125,0.0105625
-4.60360e-02,0.108125,0.0101406
-4.60320e-02,0.113125,0.00979062
-4.60280e-02,0.122813,0.0102312
-4.60240e-02,0.116563,0.0104563
-4.60200e-02,0.110625,0.0104219
-4.60160e-02,0.114688,0.0101594
-4.60120e-02,0.110625,0.0101969
-4.60080e-02,0.114375,0.00990937
-4.60040e-02,0.114063,0.0100531
-4.60000e-02,0.108125,0.0106344
-4.59960e-02,0.110625,0.0106656
-4.59920e-02,0.111875,0.0106719
-4.59880e-02,0.11125,0.0101031
-4.59840e-02,0.108437,0.0100875
-4.59800e-02,0.109375,0.0106281
-4.59760e-02,0.116563,0.0106344
-4.59720e-02,0.116563,0.0106344
-4.59680e-02,0.1125,0.0102031
-4.59640e-02,0.119063,0.0105437
-4.59600e-02,0.1125,0.0105625
-4.59560e-02,0.114688,0.0110719
-4.59520e-02,0.10625,0.0105469
-4.59480e-02,0.111875,0.0106469
-4.59440e-02,0.113125,0.0105031
-4.59400e-02,0.11375,0.0106375
-4.59360e-02,0.12125,0.0106687
-4.59320e-02,0.112188,0.0100875
-4.59280e-02,0.105,0.0102688
-4.59240e-02,0.114063,0.0107063
-4.59200e-02,0.110937,0.0104281
-4.59160e-02,0.108437,0.0101938
-4.59120e-02,0.108437,0.0097625
-4.59080e-02,0.108437,0.00984062
-4.59040e-02,0.109688,0.0102125
-4.59000e-02,0.1175,0.0103562
-4.58960e-02,0.1125,0.0103906
-4.58920e-02,0.120313,0.0101875
-4.58880e-02,0.112812,0.00994688
-4.58840e-02,0.118438,0.0101344
-4.58800e-02,0.110625,0.0104969
-4.58760e-02,0.113125,0.0107031
-4.58720e-02,0.107813,0.0102688
-4.58680e-02,0.114375,0.0105531
-4.58640e-02,0.111875,0.0100156
-4.58600e-02,0.11125,0.0104656
-4.58560e-02,0.1175,0.0106844
-4.58520e-02,0.108437,0.0105969
-4.58480e-02,0.109375,0.0106375
-4.58440e-02,0.111563,0.0099375
-4.58400e-02,0.115,0.0107156
-4.58360e-02,0.114688,0.0109
-4.58320e-02,0.108437,0.0107438
-4.58280e-02,0.105,0.0103781
-4.58240e-02,0.12125,0.0102312
-4.58200e-02,0.119375,0.0106562
-4.58160e-02,0.117188,0.010625
-4.58120e-02,0.110937,0.0105937
-4.58080e-02,0.111563,0.0101906
-4.58040e-02,0.121563,0.0103844
-4.58000e-02,0.113437,0.0104906
-4.57960e-02,0.111563,0.0102937
-4.57920e-02,0.122187,0.00978437
-4.57880e-02,0.110937,0.00997812
-4.57840e-02,0.114063,0.0101687
-4.57800e-02,0.116563,0.0103375
-4.57760e-02,0.104688,0.0102219
-4.57720e-02,0.11,0.0104281
-4.57680e-02,0.1075,0.0100906
-4.57640e-02,0.113125,0.0100469
-4.57600e-02,0.11375,0.010575
-4.57560e-02,0.109063,0.0104844
-4.57520e-02,0.1125,0.0104594
-4.57480e-02,0.115,0.0103219
-4.57440e-02,0.110313,0.0103375
-4.57400e-02,0.110937,0.0103125
-4.57360e-02,0.115938,0.0104125
-4.57320e-02,0.109688,0.0107
-4.57280e-02,0.1175,0.0105375
-4.57240e-02,0.1075,0.0102781
-4.57200e-02,0.111875,0.0105906
-4.57160e-02,0.114375,0.0107031
-4.57120e-02,0.108125,0.0109
-4.57080e-02,0.114063,0.0108344
-4.57040e-02,0.11375,0.0104844
-4.57000e-02,0.113437,0.0105906
-4.56960e-02,0.10875,0.0106281
-4.56920e-02,0.118438,0.0107438
-4.56880e-02,0.117812,0.0102063
-4.56840e-02,0.112812,0.0103625
-4.56800e-02,0.1175,0.0104156
-4.56760e-02,0.110313,0.0104313
-4.56720e-02,0.110313,0.009875
-4.56680e-02,0.107813,0.00985937
-4.56640e-02,0.113125,0.00990625
-4.56600e-02,0.103125,0.0103469
-4.56560e-02,0.107188,0.0103344
-4.56520e-02,0.111563,0.0102094
